SUBCAT;CLASSIF;RESTRSEXO;CAUSAOBITO;DESCRICAO;DESCRABREV;REFER;EXCLUIDOS;
P035;;;;Feto e recém-nascido afetados por parto precipitado;P03.5 Fet rec-nasc afetados p/parto precipitado;;;
P036;;;;Feto e recém-nascido afetados por contrações uterinas anormais;P03.6 Fet rec-nasc afet contracoes uterinas anorm;;;
P038;;;;Feto e recém-nascido afetados por outras complicações especificadas do trabalho de parto e do parto;P03.8 Fet rec-nasc afet out comp esp trb part part;;;
P039;;;;Feto e recém-nascido afetados por complicações não especificadas do trabalho de parto e do parto;P03.9 Fet rec-nasc afet compl NE trab parto parto;;;
P040;;;;Feto e recém-nascido afetados por anestesia e analgesia materna durante a gravidez, trabalho de parto e parto;P04.0 Fet rec-nasc afet anest analg mat grav parto;;;
P041;;;;Feto e recém-nascido afetados por outros medicamentos utilizados pela mãe;P04.1 Fet rec-nasc afet outr medic utiliz p/mae;;;
P042;;;;Feto e recém-nascido afetados pelo uso de fumo pela mãe;P04.2 Fet rec-nasc afetados p/uso de fumo p/mae;;;
P043;;;;Feto e recém-nascido afetados pelo uso de álcool pela mãe;P04.3 Fet rec-nasc afetados p/uso de alcool p/mae;;;
P044;;;;Feto e recém-nascido afetados pelo uso de drogas que causam dependência pela mãe;P04.4 Fet rec-nasc afet uso drogaq causam dep mae;;;
P045;;;;Feto e recém-nascido afetados por uso materno de substâncias químicas dos alimentos;P04.5 Fet rec-nasc afet uso mat subst quim aliment;;;
P046;;;;Feto e recém-nascido afetados pela exposição da mãe a substâncias químicas do meio ambiente;P04.6 Fet rec-nasc afet exp mae subs quim meio amb;;;
P048;;;;Feto e recém-nascido afetados por outras influências nocivas maternas;P04.8 Fet rec-nasc afet outr infl nocivas maternas;;;
P049;;;;Feto e recém-nascido afetados por influências nocivas maternas não especificadas;P04.9 Fet rec-nasc afet infl nocivas maternas NE;;;
P050;;;;Recém-nascido de baixo peso para a idade gestacional;P05.0 Recem-nascido de baixo peso p/a idade gestac;;;
P051;;;;Pequeno para a idade gestacional;P05.1 Pequeno p/a idade gestacional;;;
P052;;;;Desnutrição fetal sem menção de peso e comprimento baixos para a idade gestacional;P05.2 Desnutr fet s/menc peso compr baix idad gest;;;
P059;;;;Retardo não especificado do crescimento fetal;P05.9 Retardo NE do crescimento fetal;;;
P070;;;;Recém-nascido com peso muito baixo;P07.0 Recem-nascido c/peso muito baixo;;;
P071;;;;Outros recém-nascidos de peso baixo;P07.1 Outr recem-nascidos de peso baixo;;;
P072;;;;Imaturidade extrema;P07.2 Imaturidade extrema;;;
P073;;;;Outros recém-nascidos de pré-termo;P07.3 Outr recem-nascidos de pre-termo;;;
P080;;;;Recém-nascido de tamanho excessivamente grande;P08.0 Recem-nascido tamanho excessivamente grande;;;
P081;;;;Outros recém-nascidos grandes para a idade gestacional;P08.1 Outr recem-nascidos grandes p/a idade gestac;;;
P082;;;;Recém-nascido pós-termo, não-grande para a idade gestacional;P08.2 Recem-nasc pos-termo n-grande idade gest;;;
P100;;;;Hemorragia subdural devida a traumatismo de parto;P10.0 Hemorragia subdural dev traum de parto;;;
P101;;;;Hemorragia cerebral devida a traumatismo de parto;P10.1 Hemorragia cerebral dev traum de parto;;;
P102;;;;Hemorragia intraventricular devida a traumatismo de parto;P10.2 Hemorragia intraventricular dev traum parto;;;
P103;;;;Hemorragia subaracnoídea devida a traumatismo de parto;P10.3 Hemorragia subaracnoidea dev traum de parto;;;
P104;;;;Ruptura tentorial devida a traumatismo de parto;P10.4 Ruptura tentorial dev traum de parto;;;
P108;;;;Outras lacerações e hemorragias intracranianas devidas a traumatismo de parto;P10.8 Outr lacerac hemorr intracr dev traum parto;;;
P109;;;;Laceração e hemorragia intracranianas não especificadas devidas a traumatismo de parto;P10.9 Lacerac hemorr intracran NE dev traum parto;;;
P110;;;;Edema cerebral devido a traumatismo de parto;P11.0 Edema cerebral dev traum de parto;;;
P111;;;;Outras lesões cerebrais especificadas devidas a traumatismo de parto;P11.1 Outr lesoes cerebrais espec dev traum parto;;;
P112;;;;Lesão cerebral não especificada devida a traumatismo de parto;P11.2 Lesao cerebral NE dev traum de parto;;;
P113;;;;Traumatismo de parto do nervo facial;P11.3 Traum de parto do nervo facial;;;
P114;;;;Traumatismo de parto de outros nervos cranianos;P11.4 Traum de parto de outr nervos cranianos;;;
P115;;;;Traumatismo de parto da coluna e da medula espinhal;P11.5 Traum de parto da coluna e medula espinhal;;;
P119;;;;Traumatismo de parto não especificado do sistema nervoso central;P11.9 Traum de parto NE do sist nervoso central;;;
P120;;;;Céfalo-hematoma devido a traumatismo de parto;P12.0 Cefalo-hematoma dev traum de parto;;;
P121;;;;"Chignon" devido a traumatismo de parto;P12.1 Chignon dev traum de parto;;;
P122;;;;Hemorragia subaponeurótica epicraniana devida a traumatismo de parto;P12.2 Hemorrag subaponeur epicran dev traum parto;;;
P123;;;;Esmagamento do couro cabeludo devido a traumatismo de parto;P12.3 Esmag couro cabeludo dev traum parto;;;
P124;;;;Lesão por monitorização do couro cabeludo do recém-nascido;P12.4 Lesao p/monitoriz couro cabeludo rec-nasc;;;
P128;;;;Outras lesões do couro cabeludo devidas a traumatismo de parto;P12.8 Outr lesoes couro cabeludo dev traum parto;;;
P129;;;;Lesão não especificada do couro cabeludo devida a traumatismo de parto;P12.9 Lesao NE do couro cabeludo dev traum parto;;;
P130;;;;Fratura de crânio devida a traumatismo de parto;P13.0 Frat de cranio dev traum de parto;;;
P131;;;;Outras lesões cranianas devidas a traumatismo de parto;P13.1 Outr lesoes cranianas dev traum de parto;;;
P132;;;;Lesão do fêmur devida a traumatismo de parto;P13.2 Lesao do femur dev traum de parto;;;
P133;;;;Lesão de outros ossos longos devida a traumatismo de parto;P13.3 Lesao de outr ossos longos dev traum parto;;;
P134;;;;Fratura da clavícula devida a traumatismo de parto;P13.4 Frat da clavicula dev traum de parto;;;
P138;;;;Lesões de outras partes do esqueleto devidas a traumatismo de parto;P13.8 Lesoes outr partes esqueleto dev traum parto;;;
P139;;;;Lesões não especificadas do esqueleto devidas a traumatismo de parto;P13.9 Lesoes NE do esqueleto dev traum de parto;;;
P140;;;;Paralisia de Erb devida a traumatismo de parto;P14.0 Paralisia de Erb dev traum de parto;;;
P141;;;;Paralisia de Klumpke devida a traumatismo de parto;P14.1 Paralisia de Klumpke dev traum de parto;;;
P142;;;;Paralisia do nervo frênico devida a traumatismo de parto;P14.2 Paralisia do nervo frenico dev traum parto;;;
P143;;;;Outras lesões do plexo braquial devidas a traumatismo de parto;P14.3 Outr lesoes plexo braquial dev traum parto;;;
P148;;;;Outras lesões de outras partes do sistema nervoso periférico devidas a traumatismo de parto;P14.8 Out les out part sist nerv perif traum parto;;;
P149;;;;Lesão não especificada do sistema nervoso periférico devida a traumatismo de parto;P14.9 Lesao NE sist nerv perif dev traum de parto;;;
P150;;;;Lesão do fígado devida a traumatismo de parto;P15.0 Lesao do figado dev traum de parto;;;
P151;;;;Lesão do baço devida a traumatismo de parto;P15.1 Lesao do baco dev traum de parto;;;
P152;;;;Lesão do esternomastóide devida a traumatismo de parto;P15.2 Lesao do esternomastoide dev traum de parto;;;
P153;;;;Lesão dos olhos devida a traumatismo de parto;P15.3 Lesao dos olhos dev traum de parto;;;
P154;;;;Lesão da face ao nascer;P15.4 Lesao da face ao nascer;;;
P155;;;;Lesão dos órgãos genitais externos, devida a traumatismo de parto;P15.5 Lesao org genitais externos dev traum parto;;;
P156;;;;Necrose de gordura subcutânea devida a traumatismo de parto;P15.6 Necrose gordura subcutanea dev traum parto;;;
P158;;;;Outros traumatismos de parto especificados;P15.8 Outr traum de parto espec;;;
P159;;;;Traumatismo de parto não especificado;P15.9 Traum de parto NE;;;
P200;;;;Hipóxia intra-uterina diagnosticada antes do início do trabalho de parto;P20.0 Hipoxia intra-uter diagn ant inic trab parto;;;
P201;;;;Hipóxia intra-uterina diagnosticada durante o trabalho de parto e o parto;P20.1 Hipoxia intra-uter diagn dur trab parto part;;;
P209;;;;Hipóxia intra-uterina não especificada;P20.9 Hipoxia intra-uterina NE;;;
P210;;;;Asfixia grave ao nascer;P21.0 Asfixia grave ao nascer;;;
P211;;;;Asfixia leve ou moderada ao nascer;P21.1 Asfixia leve ou moderada ao nascer;;;
P219;;;;Asfixia ao nascer, não especificada;P21.9 Asfixia ao nascer NE;;;
P220;;;;Síndrome da angústia respiratória do recém-nascido;P22.0 Sindr da angustia respirat do recem-nascido;;;
P221;;;;Taquipnéia transitória do recém-nascido;P22.1 Taquipneia transitoria do recem-nascido;;;
P228;;;;Outros desconfortos respiratórios do recém-nascido;P22.8 Outr desconfortos respirat do recem-nascido;;;
P229;;;;Desconforto respiratório não especificado do recém-nascido;P22.9 Desconforto respirat NE do recem-nascido;;;
P230;;;;Pneumonia congênita devida a agente viral;P23.0 Pneumonia congen dev agente viral;;;
P231;;;;Pneumonia congênita devida a Clamídia;P23.1 Pneumonia congen dev Clamidia;;;
P232;;;;Pneumonia congênita devida a estafilococo;P23.2 Pneumonia congen dev estafilococo;;;
P233;;;;Pneumonia congênita devida a estreptococo do grupo B;P23.3 Pneumonia congen dev estreptococo do grupo B;;;
P234;;;;Pneumonia congênita devida a Escherichia coli;P23.4 Pneumonia congen dev Escherichia coli;;;
P235;;;;Pneumonia congênita devida a Pseudomonas;P23.5 Pneumonia congen dev a Pseudomonas;;;
P236;;;;Pneumonia congênita devida a outros agentes bacterianos;P23.6 Pneumonia congen dev outr agentes bacter;;;
P238;;;;Pneumonia congênita devida a outros organismos;P23.8 Pneumonia congen dev outr organismos;;;
P239;;;;Pneumonia congênita não especificada;P23.9 Pneumonia congen NE;;;
P240;;;;Aspiração neonatal de mecônio;P24.0 Aspiracao neonatal de meconio;;;
P241;;;;Aspiração neonatal de líquido amniótico e muco;P24.1 Aspiracao neonatal liquido amniotico e muco;;;
P242;;;;Aspiração neonatal de sangue;P24.2 Aspiracao neonatal de sangue;;;
P243;;;;Aspiração neonatal de leite e alimento regurgitados;P24.3 Aspiracao neonatal leite alimento regurgit;;;
P248;;;;Outras síndromes de aspiração neonatais;P24.8 Outr sindr de aspiracao neonatais;;;
P249;;;;Síndrome de aspiração neonatal não especificada;P24.9 Sindr de aspiracao neonatal NE;;;
P250;;;;Enfisema intersticial originado no período perinatal;P25.0 Enfisema interst originado periodo perinatal;;;
P251;;;;Pneumotórax originado no período perinatal;P25.1 Pneumotorax originado no periodo perinatal;;;
P252;;;;Pneumomediastino originado no período perinatal;P25.2 Pneumomediastino originado periodo perinatal;;;
P253;;;;Pneumopericárdio originado no período perinatal;P25.3 Pneumopericardio originado periodo perinatal;;;
P258;;;;Outras afecções relacionadas com o enfisema intersticial originadas no período perinatal;P25.8 Out afec rel enfis interst orig per perinat;;;
P260;;;;Hemorragia traqueobrônquica originada no período perinatal;P26.0 Hemorragia traqueobronq orig periodo perinat;;;
P261;;;;Hemorragia pulmonar maciça originada no período perinatal;P26.1 Hemorragia pulm macica orig periodo perinat;;;
P268;;;;Outras hemorragias pulmonares originadas no período perinatal;P26.8 Outr hemorragias pulm orig periodo perinat;;;
P269;;;;Hemorragia pulmonar não especificada originada no período perinatal;P26.9 Hemorragia pulmonar NE orig periodo perinat;;;
P270;;;;Síndrome de Wilson-Mikity;P27.0 Sindr de Wilson-Mikity;;;
P271;;;;Displasia broncopulmonar originada no período perinatal;P27.1 Displasia broncopulm orig periodo perinatal;;;
P278;;;;Outras doenças respiratórias crônicas originadas no período perinatal;P27.8 Outr doenc respirat cron orig per perinatal;;;
P279;;;;Doença respiratória crônica não especificada originada no período perinatal;P27.9 Doenc respirat cronica NE orig per perinatal;;;
P280;;;;Atelectasia primária do recém-nascido;P28.0 Atelectasia prim do recem-nascido;;;
P281;;;;Outras atelectasias do recém-nascido e as não especificadas;P28.1 Outr atelectasias do recem-nascido e as NE;;;
P282;;;;Crises cianóticas do recém-nascido;P28.2 Crises cianoticas do recem-nascido;;;
P283;;;;Apnéia primária do sono do recém-nascido;P28.3 Apneia prim do sono do recem-nascido;;;
P284;;;;Outras apnéias do recém-nascido;P28.4 Outr apneias do recem-nascido;;;
P285;;;;Insuficiência respiratória do recém-nascido;P28.5 Insuf respirat do recem-nascido;;;
P288;;;;Outras afecções respiratórias especificadas do recém-nascido;P28.8 Outr afeccoes respirat espec do recem-nasc;;Q314;
P289;;;;Afecção respiratória do recém-nascido, não especificada;P28.9 Afeccao respirat do recem-nascido NE;;;
P290;;;;Insuficiência cardíaca neonatal;P29.0 Insuf cardiaca neonatal;;;
P291;;;;Disritmia cardíaca neonatal;P29.1 Disritmia cardiaca neonatal;;;
P292;;;;Hipertensão neonatal;P29.2 Hipertensao neonatal;;;
P293;;;;Persistência da circulação fetal;P29.3 Persistencia da circulacao fetal;;;
P294;;;;Isquemia miocárdica transitória do recém-nascido;P29.4 Isquemia miocardica transitoria recem-nasc;;;
P298;;;;Outros transtornos cardiovasculares originados no período perinatal;P29.8 Outr transt cardiovasc orig periodo perinat;;;
P299;;;;Transtornos cardiovasculares não especificados originados no período perinatal;P29.9 Transt cardiovasc NE orig periodo perinatal;;;
P350;;;;Síndrome da rubéola congênita;P35.0 Sindr da rubeola congen;;;
P351;;;;Infecção congênita por citomegalovirus;P35.1 Infecc congen p/citomegalovirus;;;
P352;;;;Infecção congênita por vírus do herpes [simples];P35.2 Infecc congen p/virus do herpes;;;
P353;;;;Hepatite viral congênita;P35.3 Hepatite viral congen;;;
P358;;;;Outras doenças virais congênitas;P35.8 Outr doenc virais congen;;;
P359;;;;Doença viral congênita não especificada;P35.9 Doenc viral congen NE;;;
P360;;;;Septicemia do recém-nascido devida a estreptococo do grupo B;P36.0 Septicemia rec-nasc dev estreptococo grupo B;;;
P361;;;;Septicemia do recém-nascido devida a outros estreptococos e aos não especificados;P36.1 Septicemia rec-nasc dev outr estreptoc e NE;;;
P362;;;;Septicemia do recém-nascido devida ao Stafilococcus aureus;P36.2 Septicemia rec-nasc dev Stafilococcus aureus;;;
P363;;;;Septicemia do recém-nascido devida a outros estafilococos e aos não especificados;P36.3 Septicemia rec-nasc dev outr estafiloc e NE;;;
P364;;;;Septicemia do recém-nascido devida a Escherichia coli;P36.4 Septicemia recem-nasc dev Escherichia coli;;;
P365;;;;Septicemia do recém-nascido devida a anaeróbios;P36.5 Septicemia do recem-nascido dev anaerobios;;;
P368;;;;Outras septicemias bacterianas do recém-nascido;P36.8 Outr septicemias bacter do recem-nascido;;;
P369;;;;Septicemia bacteriana não especificada do recém-nascido;P36.9 Septicemia bacter NE do recem-nascido;;;
P370;;;;Tuberculose congênita;P37.0 Tuberc congen;;;
P371;;;;Toxoplasmose congênita;P37.1 Toxoplasmose congen;;;
P372;;;;Listeriose neonatal (disseminada);P37.2 Listeriose neonatal;;;
P373;;;;Malária falciparum congênita;P37.3 Malaria falciparum congen;;;
P374;;;;Outras malárias congênitas;P37.4 Outr malarias congen;;;
P375;;;;Candidíase neonatal;P37.5 Candidiase neonatal;;;
P378;;;;Outras doenças infecciosas e parasitárias congênitas especificadas;P37.8 Outr doenc infecc e parasit congen espec;;;
P379;;;;Doença infecciosa ou parasitária congênita não especificada;P37.9 Doenc infecc ou parasit congen NE;;;
P38;;;;Onfalite do recém-nascido com ou sem hemorragia leve;P38   Onfalite recem-nasc c/ou s/hemorragia leve;;;
P390;;;;Mastite infecciosa neonatal;P39.0 Mastite infecc neonatal;;;
P391;;;;Conjuntivite e dacriocistite neonatais;P39.1 Conjuntivite e dacriocistite neonatais;;;
P392;;;;Infecção intra-amniótica do feto não classificada em outra parte;P39.2 Infecc intra-amniotica do feto NCOP;;;
